文科 Liberal Arts
学院School || 专业 Programs || 学制Duration
哲学学院 School of Philosophy || 哲学 Philosophy || 四年 4 years
文学院 School of Chinese Language and Literature || 汉语言文学 Chinese Linguistics and Literature || 四年 4 years
文学院 School of Chinese Language and Literature || 汉语国际教育 Teaching Chinese to Speakers of Other Languages || 四年 4 years
外国语言文学学院 School of Foreign Languages and Literature || 英语 English Language || 四年 4 years
外国语言文学学院 School of Foreign Languages and Literature || 俄语 Russian Language || 四年 4 years
外国语言文学学院 School of Foreign Languages and Literature || 德语 German Language || 四年 4 years
外国语言文学学院 School of Foreign Languages and Literature || 法语 French Language || 四年 4 years
外国语言文学学院 School of Foreign Languages and Literature || 西班牙语 Spanish Language || 四年 4 years
外国语言文学学院 School of Foreign Languages and Literature || 日语 Japanese Language || 四年 4 years
外国语言文学学院 School of Foreign Languages and Literature || 翻译 Translation Studies || 四年 4 years
新闻与传播学院 School of Journalism and Communication || 新闻学  Journalism || 四年 4 years
新闻与传播学院 School of Journalism and Communication || 传播学 Communication || 四年 4 years
新闻与传播学院 School of Journalism and Communication || 广播电视学  Radio and Television Science || 四年 4 years
新闻与传播学院 School of Journalism and Communication || 广告学  Advertising || 四年 4 years
新闻与传播学院 School of Journalism and Communication || 播音与主持艺术 Art of Broadcasting and Anchoring || 四年 4 years
历史学院 School of History || 历史学 History || 四年 4 years
历史学院 School of History || 世界史 World History || 四年 4 years
历史学院 School of History || 考古学 Archaeology || 四年 4 years
经济与管理学院 Economics and Management School || 国际经济与贸易   International Economics and Trade || 四年 4 years
经济与管理学院 Economics and Management School || 金融学 Finance || 四年 4 years
经济与管理学院 Economics and Management School || 工商管理  Business Administration || 四年 4 years
经济与管理学院 Economics and Management School || 人力资源管理  Human Resource Management || 四年 4 years
经济与管理学院 Economics and Management School || 市场营销 Marketing || 四年 4 years
经济与管理学院 Economics and Management School || 物流管理 Logistics Management || 四年 4 years
经济与管理学院 Economics and Management School || 经济学 Economics || 四年 4 years
经济与管理学院 Economics and Management School || 财政学 Public Finance || 四年 4 years
经济与管理学院 Economics and Management School || 保险学 Insurance || 四年 4 years
经济与管理学院 Economics and Management School || 会计学 Accounting || 四年 4 years
经济与管理学院 Economics and Management School || 财务管理 Financial Management || 四年 4 years
经济与管理学院 Economics and Management School || 管理科学 Management Science || 四年 4 years
法学院 School of Law || 法学 Law || 四年 4 years
法学院 School of Law || 国际法 International Law || 四年 4 years
政治与公共管理学院 School of Political Science and Public Administration || 政治学与行政学  Political Science and Public Administration || 四年 4 years
政治与公共管理学院 School of Political Science and Public Administration || 外交学 Diplomacy || 四年 4 years
政治与公共管理学院 School of Political Science and Public Administration || 行政管理 Public Administration || 四年 4 years
政治与公共管理学院 School of Political Science and Public Administration || 公共事业管理 Public Affairs Management || 四年 4 years
政治与公共管理学院 School of Political Science and Public Administration || 劳动与社会保障 Labor and Social Security || 四年 4 years
信息管理学院 School of Information Management || 图书馆学 Library Science || 四年 4 years
信息管理学院 School of Information Management || 信息管理与信息系统 Information Management and Information System || 四年 4 years
信息管理学院 School of Information Management || 档案学  Archival Science || 四年 4 years
信息管理学院 School of Information Management || 编辑出版学 Editing and Publishing Science || 四年 4 years
