                                                                                                                                                                                                                                                                                                                                                                                                 0                                                           1                                                      2
0                                                                                                                                                                                                                                                                                              Required Subjects for the CSCA Test\n2026 Chinese-taught Undergraduate Programs of Fudan University                                                         NaN                                                    NaN
1   Notes:\n1. Applicants for Chinese-taught programs must select the Chinese version of CSCA test and are not allowed to select the English version of the test.\n2. The subject test, Chinese for Arts Majors, can be waived for applicants for the Chinese Language for Foreigners (Language & Culture) and Chinese Language for Foreigners (Business Chinese) if they have HSK level 4 ≥ 180.                                                          NaN                                                    NaN
2                                                                                                                                                                                                                                                                                                                                                                                          Program                                           School/Department                                     CSCA Test Subjects
3                                                                                                                                                                                                                                                                                                                                            Chinese Language for Foreigners (Language & Culture)                       International Cultural Exchange School                         Chinese for Arts Majors, Maths
4                                                                                                                                                                                                                                                                                                                                               Chinese Language for Foreigners (Business Chinese)                                                         NaN                                                    NaN
5                                                                                                                                                                                                                                                                                                                                                                              Chinese  Literature               Department of Chinese Language and Literature                                                    NaN
6                                                                                                                                                                                                                                                                                                                                                                                 Chinese Language                                                         NaN                                                    NaN
7                                                                                                                                                                                                                                                                                                                                                                                          History                                       Department of History                                                    NaN
8                                                                                                                                                                                                                                                                                                                                                                  Cultural Heritage and Museology               Department of Cultural Heritage and Museology                                                    NaN
9                                                                                                                                                                                                                                                                                                                                                                                       Philosophy                                        School of Philosophy                                                    NaN
10                                                                                                                                                                                                                                                                                                                                                                                        Religion                                                         NaN                                                    NaN
11                                                                                                                                                                                                                                                                                                                                                                                             Law                                            Fudan Law School                                                    NaN
12                                                                                                                                                                                                                                                                                                                                                                                         English                 College of Foreign Languages and Literature                                                    NaN
13                                                                                                                                                                                                                                                                                                                                                                                     Translation                                                         NaN                                                    NaN
14                                                                                                                                                                                                                                                                                                                                                                                          French                                                         NaN                                                    NaN
15                                                                                                                                                                                                                                                                                                                                                                                          German                                                         NaN                                                    NaN
16                                                                                                                                                                                                                                                                                                                                                                                        Japanese                                                         NaN                                                    NaN
17                                                                                                                                                                                                                                                                                                                                                                                         Spanish                                                         NaN                                                    NaN
18                                                                                                                                                                                                                                                                                                                                                                                         Russian                                                         NaN                                                    NaN
