                                                                                                                                                                                                                                                                                                              0                                                           1                  2                                  3
0                                                                                                                                                                                                                        Tuition Information for 2026 Chinese-taught Undergraduate Programs of Fudan University                                                         NaN                NaN                                NaN
1                                                                                                                                                                                                                                                                                                         Major                                           School/Department  Duration of Study                            Tuition
2                                                                                                                                                                                                                                                          Chinese Language for Foreigners (Language & Culture)                      International Cultural Exchange School            4 years      Arts Majors:\n23,000 RMB/Year
3                                                                                                                                                                                                                                                            Chinese Language for Foreigners (Business Chinese)                                                         NaN                NaN                                NaN
4                                                                                                                                                                                                                                                                                           Chinese  Literature               Department of Chinese Language and Literature                NaN                                NaN
5                                                                                                                                                                                                                                                                                              Chinese Language                                                         NaN                NaN                                NaN
6                                                                                                                                                                                                                                                                                                       History                                       Department of History                NaN                                NaN
7                                                                                                                                                                                                                                                                               Cultural Heritage and Museology               Department of Cultural Heritage and Museology                NaN                                NaN
8                                                                                                                                                                                                                                                                                                    Philosophy                                        School of Philosophy                NaN                                NaN
9                                                                                                                                                                                                                                                                                                      Religion                                                         NaN                NaN                                NaN
10                                                                                                                                                                                                                                                                                                          Law                                                  Law School                NaN                                NaN
11                                                                                                                                                                                                                                                                                                      English                 College of Foreign Languages and Literature                NaN                                NaN
12                                                                                                                                                                                                                                                                                                  Translation                                                         NaN                NaN                                NaN
13                                                                                                                                                                                                                                                                                                       French                                                         NaN                NaN                                NaN
14                                                                                                                                                                                                                                                                                                       German                                                         NaN                NaN                                NaN
15                                                                                                                                                                                                                                                                                                     Japanese                                                         NaN                NaN                                NaN
16                                                                                                                                                                                                                                                                                                      Spanish                                                         NaN                NaN                                NaN
17                                                                                                                                                                                                                                                                                                      Russian                                                         NaN                NaN                                NaN
18                                                                                                                                                                                                                                                                                                       Korean                                                         NaN                NaN                                NaN
19                                                                                                                                                                                                                                                                                                   Journalism                                        School of Journalism                NaN                                NaN
20                                                                                                                                                                                                                                                                                                 Broadcasting                                                         NaN                NaN                                NaN
21                                                                                                                                                                                                                                                                                                Communication                                                         NaN                NaN                                NaN
22                                                                                                                                                                                                                                                                                                  Advertising                                                         NaN                NaN                                NaN
23                                                                                                                                                                                                                                                                         Political Science and Administration        School of International Relations and Public Affairs                NaN                                NaN
24                                                                                                                                                                                                                                                                                       International Politics                                                         NaN                NaN                                NaN
25                                                                                                                                                                                                                                                                                        Public Administration                                                         NaN                NaN                                NaN
26                                                                                                                                                                                                                                                                                                    Sociology              School of Social Development and Public Policy                NaN                                NaN
27                                                                                                                                                                                                                                                                                                  Social Work                                                         NaN                NaN                                NaN
