                                                                                                                                           0                                                             1                                                                       2                        3                          4                                                     5
0   哈尔滨工业大学2026/2027学年国际学生本科招生专业目录及CSCA测试科目\nHarbin Institute of Technology 2026/2027  Bachelor's Degree Program Major Lists & CSCA Subjects                                                           NaN                                                                     NaN                      NaN                        NaN                                                   NaN
1                                                                                                                                    序号\nNo.                                                    学院\nSchool                                                               专业\nMajor  授课语言\nTeaching Language  学制/年\nStudy Duration/Year                               CSCA测试科目\nCSCA Subjects
2                                                                                                                                        NaN                                                           NaN                                                                     NaN                      NaN                        NaN                                                   NaN
3                                                                                                                                          1                                  航天学院\nSchool of Astronautics                                                         自动化\nAutomation              中文\nChinese                        4.0      理科中文，数学，物理\nChinese for STEM，Mathematics，Physics
4                                                                                                                                        NaN                                                           NaN                               智能装备与系统\nIntelligent Equipment and System              中文\nChinese                        4.0                                                   NaN
5                                                                                                                                        NaN                                                           NaN                    探测制导与控制技术\nDetection Guidance and Control Technology              中文\nChinese                        4.0                                                   NaN
6                                                                                                                                        NaN                                                           NaN            集成电路设计与集成系统\nIntegrated Circuit Design and Integrated System              中文\nChinese                        4.0                                                   NaN
7                                                                                                                                        NaN                                                           NaN                      微电子科学与工程\nMicroelectronics Science and Engineering              中文\nChinese                        4.0                                                   NaN
8                                                                                                                                        NaN                                                           NaN                                  智能视觉工程\nIntelligent Vision Engineering              中文\nChinese                        4.0                                                   NaN
9                                                                                                                                          2  电子与信息工程学院\nSchool of Electronics and Information Engineering                                         通信工程\nCommunication Engineering              中文\nChinese                        4.0                                                   NaN
10                                                                                                                                       NaN                                                           NaN                              电子信息工程\nElectronic Information Engineering              中文\nChinese                        4.0                                                   NaN
11                                                                                                                                       NaN                                                           NaN                           信息对抗技术\nInformation Countermeasure Technology              中文\nChinese                        4.0                                                   NaN
12                                                                                                                                       NaN                                                           NaN                            智能科学与技术\nIntelligence Science and Technology              中文\nChinese                        4.0                                                   NaN
13                                                                                                                                         3   电气工程及自动化学院\nSchool of Electrical Engineering and Automation                        电气工程及其自动化\nElectrical Engineering and Automation              中文\nChinese                        4.0                                                   NaN
14                                                                                                                                       NaN                                                           NaN                                    能源互联网工程\nEnergy Internet Engineering              中文\nChinese                        4.0                                                   NaN
15                                                                                                                                         4                                   数学学院\nSchool of Mathematics                                                         统计学\nStatistics              中文\nChinese                        4.0                                                   NaN
16                                                                                                                                         5                                    计算学部\nFaculty of Computing                               计算机科学与技术\nComputer Science and Technology              中文\nChinese                        4.0                                                   NaN
17                                                                                                                                       NaN                                                           NaN                                           人工智能\nArtificial Intelligence              中文\nChinese                        4.0                                                   NaN
18                                                                                                                                       NaN                                                           NaN                                              信息安全\nInformation Security              中文\nChinese                          4                                                   NaN
19                                                                                                                                       NaN                                                           NaN                                              软件工程\nSoftware Engineering              中文\nChinese                          4                                                   NaN
20                                                                                                                                         6                    机电工程学院\nSchool of Mechatronics Engineering             机械设计制造及其自动化\nMechanical Design Manufacturing and Automation              中文\nChinese                          4                                                   NaN
21                                                                                                                                       NaN                                                           NaN                       飞行器制造工程\nFlight Vehicle Manufacturing Engineering              中文\nChinese                          4                                                   NaN
22                                                                                                                                       NaN                                                           NaN                                                机器人工程\nRobot Engineering              中文\nChinese                          4                                                   NaN
23                                                                                                                                       NaN                                                           NaN                           智能制造工程\nIntelligent Manufacturing Engineering              中文\nChinese                          4                                                   NaN
24                                                                                                                                       NaN                                                           NaN                                 仿生科学与工程\nBionic Science and Engineering              中文\nChinese                          4                                                   NaN
25                                                                                                                                         7        材料科学与工程学院\nSchool of Materials Science and Engineering                              材料科学与工程\nMaterials Science and Engineering              中文\nChinese                          4                                                   NaN
26                                                                                                                                       NaN                                                           NaN                 材料成型及控制工程\nMaterial Forming and Controlling Engineering              中文\nChinese                          4                                                   NaN
27                                                                                                                                       NaN                                                           NaN                             焊接技术与工程\nWelding Technology and Engineering              中文\nChinese                          4                                                   NaN
28                                                                                                                                       NaN                                                           NaN              光电信息材料与器件\nPhotoelectric Information Materials and Devices              中文\nChinese                          4                                                   NaN
29                                                                                                                                       NaN                                                           NaN                             电子封装技术\nElectrical Encapsulation Technology              中文\nChinese                          4                                                   NaN
30                                                                                                                                         8           能源科学与工程学院\nSchool of Energy Science and Engineering                                   能源与动力工程\nEnergy and Power Engineering              中文\nChinese                          4                                                   NaN
31                                                                                                                                       NaN                                                           NaN                                     飞行器动力工程\nAircraft Power Engineering              中文\nChinese                          4                                                   NaN
32                                                                                                                                       NaN                                                           NaN                             核工程与核技术\nNuclear Engineering and Technology              中文\nChinese                          4                                                   NaN
33                                                                                                                                       NaN                                                           NaN                         储能科学与工程\nEnergy Storage Science and Engineering              中文\nChinese                          4                                                   NaN
34                                                                                                                                         9  仪器科学与工程学院\nSchool of Instrumentation Science and Engineering                                                精密仪器\nPrecise Instrument              中文\nChinese                          4                                                   NaN
35                                                                                                                                       NaN                                                           NaN                              智能感知工程\nIntelligent Perception Engineering              中文\nChinese                          4                                                   NaN
36                                                                                                                                       NaN                                                           NaN              测控技术与仪器\nMeasurement and Testing Technology and Instrument              中文\nChinese                          4                                                   NaN
37                                                                                                                                        10                           土木工程学院\nSchool of Civil Engineering                                                 土木工程\nCivil Engineering              中文\nChinese                        4.0                                                   NaN
38                                                                                                                                       NaN                                                           NaN                            城市地下空间工程\nCity Underground Space Engineering              中文\nChinese                          4                                                   NaN
39                                                                                                                                       NaN                                                           NaN                                          智能建造\nIntelligent Construction              中文\nChinese                          4                                                   NaN
40                                                                                                                                        11   交通科学与工程学院\nSchool of Transportation Science and Engineering                   道路桥梁与渡河工程\nRoad Bridge and River Crossing Engineering              中文\nChinese                          4                                                   NaN
41                                                                                                                                       NaN                                                           NaN                                               交通工程\nTraffic Engineering              中文\nChinese                          4                                                   NaN
42                                                                                                                                       NaN                                                           NaN                                        智慧交通\nIntelligent Transportation              中文\nChinese                          4                                                   NaN
43                                                                                                                                        12         化工与化学学院\nSchool of Chemistry and Chemical Engineering                            化学工程与工艺\nChemical Engineering and Technology              中文\nChinese                          4  理科中文，数学，化学\nChinese for STEM, Mathematics, Chemistry
44                                                                                                                                       NaN                                                           NaN                             高分子材料与工程\nPolymer Materials and Engineering              中文\nChinese                          4                                                   NaN
45                                                                                                                                       NaN                                                           NaN                                                 应用化学\nApplied Chemistry              中文\nChinese                          4                                                   NaN
46                                                                                                                                        13                                   环境学院\nSchool of Environment                                         环境工程\nEnvironmental Engineering              中文\nChinese                          4                                                   NaN
47                                                                                                                                       NaN                                                           NaN                                             环境科学\nEnvironmental Science              中文\nChinese                          4                                                   NaN
48                                                                                                                                       NaN                                                           NaN                         给排水科学与工程\nWater Supply and Sewerage Engineering              中文\nChinese                          4                                                   NaN
49                                                                                                                                       NaN                                                           NaN                                  城市水系统工程\nCity Water System Engineering              中文\nChinese                          4                                                   NaN
50                                                                                                                                        14               生命科学和医学学部\nFaculty of Life Science and Medicine                                             生物技术\nBiological Technology              中文\nChinese                          4                                                   NaN
51                                                                                                                                       NaN                                                           NaN                                            生物工程\nBiological Engineering              中文\nChinese                          4                                                   NaN
52                                                                                                                                       NaN                                                           NaN                                                   生物信息学\nBioinformatics              中文\nChinese                          4                                                   NaN
53                                                                                                                                       NaN                                                           NaN                                 智能医学工程\nIntelligent Medical Engineering              中文\nChinese                        4.0                                                   NaN
54                                                                                                                                        15             人文社科学部\nFaculty of Humanities and Social Sciences                                                          社会学\nSociology              中文\nChinese                          4          文科中文，数学\nChinese for Humanities, Mathematics
55                                                                                                                                       NaN                                                           NaN                                                             俄语\nRussian              中文\nChinese                          4                                                   NaN
56                                                                                                                                       NaN                                                           NaN                                                                 法学\nLaw              中文\nChinese                          4                                                   NaN
57                                                                                                                                       NaN                                                           NaN            国际组织与全球治理\nInternational Organizations and Global Governance              中文\nChinese                          4                                                   NaN
58                                                                                                                                       NaN                                                           NaN                                               汉语言文学\nChinese Literature              中文\nChinese                          4                                                   NaN
59                                                                                                                                        16                    建筑与设计学院\nSchool of Architecture and Design    建筑环境与能源应用工程\nBuilding Environment and Energy Application Engineering              中文\nChinese                          4                                                   NaN
60                                                                                                                                       NaN                                                           NaN                                               数字媒体艺术\nDigital Media Art              中文\nChinese                          4                                                   NaN
61                                                                                                                                       NaN                                                           NaN                                                    产品设计\nProduct Design              中文\nChinese                          4                                                   NaN
62                                                                                                                                       NaN                                                           NaN                                                       建筑学\nArchitecture              中文\nChinese                        4.0                                                   NaN
63                                                                                                                                       NaN                                                           NaN                                          城乡规划\nUrban and Rural Planning              中文\nChinese                          4                                                   NaN
64                                                                                                                                        17                                 经济与管理学院\nSchool of Management                信息管理与信息系统\nInformation Management and Information System              中文\nChinese                          4                                                   NaN
65                                                                                                                                       NaN                                                           NaN                           大数据管理与应用\nBig Data Management and Application              中文\nChinese                          4                                                   NaN
66                                                                                                                                       NaN                                                           NaN                                             计算金融\nComputational Finance              中文\nChinese                          4                                                   NaN
67                                                                                                                                       NaN                                                           NaN                                                   数字经济\nDigital Economy              中文\nChinese                          4                                                   NaN
68                                                                                                                                        18                                          商学院\nBusiness School                                               工商管理\nBusiness Management              中文\nChinese                        4.0                                                   NaN
69                                                                                                                                       NaN                                                           NaN                                                         会计学\nAccounting              中文\nChinese                          4                                                   NaN
70                                                                                                                                        19                                  航天学院\nSchool of Astronautics                                                        自动化 \nAutomation              英文\nEnglish                        4.0                           数学，物理\nMathematics, Physics
71                                                                                                                                       NaN                                                           NaN           集成电路设计与集成系统 \nIntegrated Circuit Design and Integrated System              英文\nEnglish                        4.0                                                   NaN
72                                                                                                                                        20  电子与信息工程学院\nSchool of Electronics and Information Engineering                                        通信工程 \nCommunication Engineering              英文\nEnglish                        4.0                                                   NaN
73                                                                                                                                       NaN                                                           NaN                             电子信息工程 \nElectronic Information Engineering              英文\nEnglish                        4.0                                                   NaN
74                                                                                                                                        21   电气工程及自动化学院\nSchool of Electrical Engineering and Automation                       电气工程及其自动化 \nElectrical Engineering and Automation              英文\nEnglish                        4.0                                                   NaN
75                                                                                                                                        22                                    计算学部\nFaculty of Computing                              计算机科学与技术 \nComputer Science and Technology              英文\nEnglish                        4.0                                                   NaN
76                                                                                                                                       NaN                                                           NaN                                          人工智能 \nArtificial Intelligence              英文\nEnglish                        4.0                                                   NaN
77                                                                                                                                        23                    机电工程学院\nSchool of Mechatronics Engineering                                               机器人工程 \nRobot Engineering              英文\nEnglish                          4                                                   NaN
78                                                                                                                                       NaN                                                           NaN                          智能制造工程 \nIntelligent Manufacturing Engineering              英文\nEnglish                          4                                                   NaN
79                                                                                                                                        24        材料科学与工程学院\nSchool of Materials Science and Engineering                             材料科学与工程 \nMaterials Science and Engineering              英文\nEnglish                          4                                                   NaN
80                                                                                                                                       NaN                                                           NaN                            焊接技术与工程 \nWelding Technology and Engineering              英文\nEnglish                          4                                                   NaN
81                                                                                                                                        25           能源科学与工程学院\nSchool of Energy Science and Engineering                                  能源与动力工程 \nEnergy and Power Engineering              英文\nEnglish                          4                                                   NaN
82                                                                                                                                        26  仪器科学与工程学院\nSchool of Instrumentation Science and Engineering             测控技术与仪器 \nMeasurement and Testing Technology and Instrument              英文\nEnglish                          4                                                   NaN
83                                                                                                                                        27                           土木工程学院\nSchool of Civil Engineering                                                土木工程 \nCivil Engineering              英文\nEnglish                        4.0                                                   NaN
84                                                                                                                                       NaN                                                           NaN                                         智能建造 \nIntelligent Construction              英文\nEnglish                          4                                                   NaN
85                                                                                                                                        28   交通科学与工程学院\nSchool of Transportation Science and Engineering                                              交通工程 \nTraffic Engineering              英文\nEnglish                          4                                                   NaN
