slug,nameZh,nameEn,city,province,universityType,is985,is211,isDoubleFirstClass,website
tsinghua,清华大学,Tsinghua University,北京,北京,COMPREHENSIVE,true,true,true,https://www.tsinghua.edu.cn
pku,北京大学,Peking University,北京,北京,COMPREHENSIVE,true,true,true,https://www.pku.edu.cn
ruc,中国人民大学,Renmin University of China,北京,北京,COMPREHENSIVE,true,true,true,https://www.ruc.edu.cn
buaa,北京航空航天大学,Beihang University,北京,北京,SCIENCE_ENGINEERING,true,true,true,https://www.buaa.edu.cn
bit,北京理工大学,Beijing Institute of Technology,北京,北京,SCIENCE_ENGINEERING,true,true,true,https://www.bit.edu.cn
bnu,北京师范大学,Beijing Normal University,北京,北京,NORMAL,true,true,true,https://www.bnu.edu.cn
cau,中国农业大学,China Agricultural University,北京,北京,AGRICULTURE_FORESTRY,true,true,true,https://www.cau.edu.cn
muc,中央民族大学,Minzu University of China,北京,北京,OTHER,true,true,true,https://www.muc.edu.cn
nankai,南开大学,Nankai University,天津,天津,COMPREHENSIVE,true,true,true,https://www.nankai.edu.cn
tju,天津大学,Tianjin University,天津,天津,SCIENCE_ENGINEERING,true,true,true,https://www.tju.edu.cn
dlut,大连理工大学,Dalian University of Technology,大连,辽宁,SCIENCE_ENGINEERING,true,true,true,https://www.dlut.edu.cn
neu,东北大学,Northeastern University,沈阳,辽宁,SCIENCE_ENGINEERING,true,true,true,https://www.neu.edu.cn
jlu,吉林大学,Jilin University,长春,吉林,COMPREHENSIVE,true,true,true,https://www.jlu.edu.cn
fudan,复旦大学,Fudan University,上海,上海,COMPREHENSIVE,true,true,true,https://www.fudan.edu.cn
tongji,同济大学,Tongji University,上海,上海,SCIENCE_ENGINEERING,true,true,true,https://www.tongji.edu.cn
ecnu,华东师范大学,East China Normal University,上海,上海,NORMAL,true,true,true,https://www.ecnu.edu.cn
nju,南京大学,Nanjing University,南京,江苏,COMPREHENSIVE,true,true,true,https://www.nju.edu.cn
seu,东南大学,Southeast University,南京,江苏,SCIENCE_ENGINEERING,true,true,true,https://www.seu.edu.cn
zju,浙江大学,Zhejiang University,杭州,浙江,COMPREHENSIVE,true,true,true,https://www.zju.edu.cn
ustc,中国科学技术大学,University of Science and Technology of China,合肥,安徽,SCIENCE_ENGINEERING,true,true,true,https://www.ustc.edu.cn
xmu,厦门大学,Xiamen University,厦门,福建,COMPREHENSIVE,true,true,true,https://www.xmu.edu.cn
sdu,山东大学,Shandong University,济南,山东,COMPREHENSIVE,true,true,true,https://www.sdu.edu.cn
ouc,中国海洋大学,Ocean University of China,青岛,山东,OTHER,true,true,true,https://www.ouc.edu.cn
whu,武汉大学,Wuhan University,武汉,湖北,COMPREHENSIVE,true,true,true,https://www.whu.edu.cn
hust,华中科技大学,Huazhong University of Science and Technology,武汉,湖北,SCIENCE_ENGINEERING,true,true,true,https://www.hust.edu.cn
hnu,湖南大学,Hunan University,长沙,湖南,COMPREHENSIVE,true,true,true,https://www.hnu.edu.cn
